x
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
30	30
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
40	40
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
50	50
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
90	93
91	94
92	98
93	102
94	103
95	104
96	105
97	106
98	107
99	108
100	109
101	110
102	114
103	115
104	116
105	117
106	118
107	119
108	120
109	121
110	122
111	123
112	124
113	125
114	126
115	127
116	128
117	129
118	130
119	131
120	147
121	148
122	149
123	150
124	151
125	152
126	153
127	161
128	162
129	163
130	164
131	165
132	166
133	167
134	169
135	170
136	171
137	172
138	173
139	174
140	176
141	177
142	178
143	179
144	180
145	181
146	185
147	186
148	187
149	188
150	189
151	199
152	207
153	209
154	214
155	215
156	216
157	217
158	218
159	219
160	220
161	221
162	222
163	224
164	225
165	226
166	227
167	257
168	259
169	267
170	268
171	276
172	277
173	278
174	285
175	299
176	303
177	306
178	310
179	311
180	312
181	313
182	314
183	315
184	316
185	317
186	318
187	320
188	321
