#%guid=0000008635-1147465503-0655288913-0260172332-1489521149 3
#%exec_guid=0000008635-1147465503-1723228888-0762909110-1077155963 3
#%exec_version=apt-1.4.0 $Id: exon.summary3.txt,v 1.1 2006-05-22 21:58:11 pklost Exp $ 3
#%create_date=Fri May 12 13:18:36 2006 3
#%cmd=apt-probeset-summarize -a pm-gcbg,iter-plier -a pm-gcbg,plier -o now -report -p HuEx-1_0-st-v2.pgf -c HuEx-1_0-st-v2.clf -b antigenomic.bgp -f huex_wta_lung_A.CEL huex_wta_cerebellum_A.CEL huex_wta_heart_A.CEL huex_wta_kidney_A.CEL huex_wta_liver_A.CEL huex_wta_muscle_A.CEL huex_wta_pancreas_A.CEL huex_wta_prostate_A.CEL huex_wta_spleen_A.CEL huex_wta_testes_A.CEL huex_wta_thyroid_A.CEL huex_wta_tissue_mix1_A.CEL huex_wta_tissue_mix2_A.CEL huex_wta_tissue_mix3_A.CEL huex_wta_tissue_mix4_A.CEL  3
#%chip_type=HuEx-1_0-st-v2 3
#%lib_set_name=HuEx-1_0-st 3
#%lib_set_version=v2 3
############################################################ 3
probeset_id	huex_wta_lung_A3.CEL	huex_wta_cerebellum_A3.CEL	huex_wta_heart_A3.CEL	huex_wta_kidney_A3.CEL	huex_wta_liver_A3.CEL	huex_wta_muscle_A3.CEL	huex_wta_pancreas_A3.CEL	huex_wta_prostate_A3.CEL	huex_wta_spleen_A3.CEL	huex_wta_testes_A3.CEL	huex_wta_thyroid_A3.CEL	huex_wta_tissue_mix1_A3.CEL	huex_wta_tissue_mix2_A3.CEL	huex_wta_tissue_mix3_A3.CEL	huex_wta_tissue_mix4_A3.CEL
2590411	53	123	23	33	153	93	53	83	43	403	163	173	153	113	113
2609210	33	63	123	93	53	63	33	43	13	283	123	223	63	133	143
2616957	163	933	53	303	223	63	233	293	133	263	203	613	563	413	583
2391254	63	253	23	113	143	93	153	3	53	63	43	193	303	183	233
3499280	33	133	23	113	33	53	13	13	3	13	113	13	3	23	23
2807653	63	103	3	3	53	3	3	43	63	143	113	33	83	83	33
2532280	43	273	23	113	183	123	243	83	83	233	283	103	243	193	183
3842613	113	223	123	113	113	13	43	73	43	113	333	103	213	83	163
3871433	263	2253	243	253	703	263	773	303	433	443	513	783	1433	373	1063
3087946	43	93	43	3	53	13	63	33	13	53	13	93	63	103	3
3234450	33	73	3	13	3	3	33	3	23	13	23	33	43	23	3
3452435	63	233	93	573	34963	4323	2603	163	193	213	953	123	83	103	123
2580386	43	273	43	63	43	23	63	73	23	183	103	93	143	123	103
3949778	233	1073	93	173	483	1823	883	233	853	1413	2833	113	273	123	1723
2689727	73	503	13	103	193	43	93	63	13	73	123	163	103	103	123
2846401	203	603	93	143	353	343	433	383	93	433	473	403	473	463	253
2385421	93	213	3	83	53	63	23	13	33	103	73	113	163	143	83
2992747	33	83	13	63	93	13	53	23	33	93	43	93	83	73	93
3432063	53	673	143	393	493	273	183	113	173	473	333	473	453	313	513
2827457	113	1043	103	143	273	113	63	33	153	273	173	493	513	283	253
3781635	53	33	33	53	53	23	83	53	53	23	83	103	43	23	53
3541146	813	4103	1713	513	3713	3503	1833	453	3103	4803	3433	3823	2693	2023	2853
3694750	23	413	23	63	53	33	33	133	253	93	3	273	213	73	193
