CNV3	1	755964	799636
CNV4	1	1617778	1662463
CNV6	1	6715483	6723538
CNV10	1	8105171	8111872
CNV12	1	8128717	8131908
CNV13	1	8139670	8160390
CNV15	1	8689899	8695120
CNV22	1	10293128	10300570
CNV28	1	12768450	12805683
CNV35	1	12831824	12849694
CNV46	1	13317495	13340609
CNV48	1	15149071	15151883
CNV49	1	15361772	15362873
CNV53	1	15665011	15683808
CNV59	1	16240718	16251918
CNV60	1	16826882	16843043
CNV71	1	16884037	16920992
CNV76	1	17067742	17134834
CNV79	1	22193098	22209830
CNV81	1	22374302	22381789
CNV84	1	25465715	25534592
CNV88	1	34875241	34877078
CNV91	1	38414624	38417452
CNV94	1	38901191	38908792
CNV104	1	40738766	40742251
CNV109	1	40794659	40800800
CNV110	1	41119794	41149087
CNV113	1	43868287	43878235
CNV114	1	46016347	46023934
CNV118	1	47486248	47501675
CNV119	1	53261038	53262328
CNV120	1	55074411	55078004
CNV122	1	55496611	55496887
CNV124	1	59816510	59830867
CNV128	1	61886594	61890775
CNV134	1	62211819	62211903
CNV135	1	64517578	64518204
CNV141	1	64615315	64624133
CNV145	1	72528701	72535958
CNV147	1	72541504	72583736
CNV148	1	73454531	73483916
CNV149	1	75858230	75896652
CNV151	1	76942167	76964137
CNV158	1	77547460	77552420
CNV160	1	84668621	84670569
CNV164	1	85683879	85687990
CNV168	1	87410687	87414665
CNV174	1	89358495	89368128
CNV175	1	92351832	92357103
CNV180	1	94903354	94927987
CNV182	1	101779010	101785702
CNV183	1	102096209	102098748
CNV186	1	102174336	102184467
CNV187	1	103910761	103960907
CNV189	1	105634380	105641635
CNV194	1	105820728	105823898
CNV200	1	105936885	105938440
CNV201	1	105969819	106016548
CNV207	1	106110789	106116611
CNV209	1	107023241	107025005
CNV211	1	107457125	107465018
CNV212	1	108535758	108539019
CNV215	1	108729983	108787720
CNV216	1	109298377	109299668
CNV221	1	110025907	110044476
CNV222	1	111179088	111189749
CNV223	1	111629849	111637017
CNV225	1	111730660	111734750
CNV228	1	112497200	112498913
CNV235	1	115527711	115904155
CNV236	1	119916400	119951038
CNV243	1	146273899	146275557
CNV248	1	147303148	147526040
CNV250	1	149603323	149664502
CNV251	1	150822330	150853218
CNV253	1	150915736	150923166
CNV257	1	151028547	151035324
CNV262	1	151940298	151959872
CNV263	1	153455784	153467684
CNV267	1	153927851	153929981
CNV276	1	156756083	156756401
CNV279	1	156783620	156787041
CNV284	1	159778034	159884875
CNV286	1	159885483	159906183
CNV287	1	163688498	163690794
CNV289	1	164451105	164460994
CNV290	1	166355739	166358038
CNV296	1	167500598	167508390
CNV313	1	168634270	168653829
CNV315	1	173063179	173068463
CNV319	1	176926933	176940811
CNV320	1	177220369	177243352
CNV323	1	177597151	177599938
CNV328	1	182046713	182052162
CNV329	1	185564993	185567314
CNV332	1	187293847	187297986
CNV333	1	187353623	187359115
CNV336	1	187593758	187642270
CNV337	1	187660318	187719766
CNV340	1	187972868	188048188
CNV360	1	188236989	188253049
CNV363	1	189140954	189142767
CNV364	1	189983338	189992781
CNV368	1	190095692	190133873
CNV369	1	191927641	191976999
